employee_id,department,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,Awards,avg_training_score,Promoted
1,0,1,1,2,2,29,3,5,0,0,85,0
2,1,2,0,2,1,35,1,2,0,0,63,0
3,7,1,1,1,1,25,3,2,0,0,53,0
4,0,2,1,1,2,46,3,7,0,0,86,0
5,4,1,1,1,1,31,3,7,0,0,59,0
6,7,1,1,1,1,42,5,6,1,0,52,0
7,7,1,1,2,1,29,5,2,1,0,50,0
8,4,2,1,1,1,35,4,9,0,0,60,0
9,8,1,1,1,1,24,3,2,1,0,77,0
10,4,1,0,2,2,38,5,8,1,0,60,0
11,7,1,1,2,2,39,3,12,0,0,50,0
12,4,1,0,2,1,33,3,4,0,1,57,0
13,5,1,1,2,1,29,3,5,1,0,70,0
14,6,1,1,1,1,27,5,5,0,0,81,0
15,8,1,1,1,1,36,1,3,0,0,77,0
16,4,1,1,1,1,43,3,13,0,0,61,0
17,7,1,1,2,2,42,4,13,0,0,52,0
18,4,1,1,1,1,26,4,2,0,0,63,0
19,2,1,1,1,1,29,5,2,1,0,52,0
20,0,1,1,1,1,26,5,2,0,0,86,0
21,5,2,1,1,1,37,4,8,1,0,90,1
22,7,2,0,1,1,37,1,8,0,0,49,0
23,4,3,1,1,2,25,5,3,1,0,60,0
24,7,1,1,1,1,27,4,4,0,0,50,0
25,7,1,1,1,1,34,1,10,1,0,82,1
26,8,1,0,2,1,32,1,5,0,0,82,0
27,4,2,1,2,2,39,2,10,0,0,62,0
28,4,1,0,2,1,36,3,4,1,0,63,0
29,5,1,1,2,1,43,3,3,0,0,70,0
30,7,2,1,1,1,36,5,3,1,0,48,1
31,8,2,1,2,1,38,3,5,1,1,79,1
32,6,2,1,1,2,28,3,4,0,0,84,0
33,8,1,1,1,1,27,3,3,0,0,82,0
34,0,2,1,1,1,36,3,2,0,0,84,0
35,7,1,1,2,1,39,3,8,1,0,50,1
36,7,1,1,3,1,26,5,3,1,0,47,0
37,8,2,1,1,2,45,3,15,0,0,82,0
38,7,1,1,2,1,33,1,6,0,0,50,0
39,0,1,1,2,1,36,4,6,0,0,88,0
40,0,1,1,1,1,35,3,5,0,0,87,0
41,4,2,1,1,2,38,2,5,0,0,56,0
42,5,2,0,1,1,33,1,3,0,0,71,0
43,8,1,0,2,1,52,3,23,0,0,79,0
44,4,2,0,1,1,34,3,2,0,0,55,0
45,7,2,1,1,1,38,3,8,0,0,52,0
46,4,2,1,2,1,32,5,6,0,0,58,0
47,8,1,0,2,1,31,3,4,0,0,76,0
48,4,2,0,2,1,40,5,5,0,0,59,0
49,2,1,1,2,1,36,4,10,1,0,48,0
50,4,1,1,2,1,33,4,4,1,1,63,0
51,4,1,1,1,1,35,5,5,0,0,60,0
52,7,1,1,1,1,56,1,5,0,0,50,0
53,8,1,0,1,1,23,1,2,0,0,82,0
54,7,1,1,2,1,38,3,10,0,0,52,0
55,8,2,1,1,1,53,1,11,0,0,80,0
56,0,1,1,2,1,30,4,3,1,0,88,0
57,7,2,1,2,2,34,1,6,0,0,50,0
