employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
1,Analytics,7,Bachelor's,m,sourcing,2,29,3,5,0,0,85,0
2,Finance,2,Master's & above,f,sourcing,1,35,1,2,0,0,63,0
3,Sales & Marketing,2,Bachelor's,m,other,1,25,3,2,0,0,53,0
4,Analytics,7,Master's & above,m,other,2,46,3,7,0,0,86,0
5,Operations,32,Bachelor's,m,other,1,31,3,7,0,0,59,0
6,Sales & Marketing,7,Bachelor's,m,other,1,42,5,6,1,0,52,0
7,Sales & Marketing,27,Bachelor's,m,sourcing,1,29,5,2,1,0,50,0
8,Operations,24,Master's & above,m,other,1,35,4,9,0,0,60,0
9,Technology,31,Bachelor's,m,other,1,24,3,2,1,0,77,0
10,Operations,2,Bachelor's,f,sourcing,2,38,5,8,1,0,60,0
11,Sales & Marketing,2,Bachelor's,m,sourcing,2,39,3,12,0,0,50,0
12,Operations,24,Bachelor's,f,sourcing,1,33,3,4,0,1,57,0
13,Procurement,34,Bachelor's,m,sourcing,1,29,3,5,1,0,70,0
14,R&D,6,Bachelor's,m,other,1,27,5,5,0,0,81,0
15,Technology,2,Bachelor's,m,other,1,36,1,3,0,0,77,0
16,Operations,14,Bachelor's,m,other,1,43,3,13,0,0,61,0
17,Sales & Marketing,2,Bachelor's,m,sourcing,2,42,4,13,0,0,52,0
18,Operations,26,Bachelor's,m,other,1,26,4,2,0,0,63,0
19,HR,2,Bachelor's,m,other,1,29,5,2,1,0,52,0
20,Analytics,32,Bachelor's,m,other,1,26,5,2,0,0,86,0
21,Procurement,15,Master's & above,m,other,1,37,4,8,1,0,90,1
22,Sales & Marketing,26,Master's & above,f,other,1,37,1,8,0,0,49,0
23,Operations,7,Below Secondary,m,other,2,25,5,3,1,0,60,0
24,Sales & Marketing,19,Bachelor's,m,other,1,27,4,4,0,0,50,0
25,Sales & Marketing,1,Bachelor's,m,other,1,34,1,10,1,0,82,1
26,Technology,11,Bachelor's,f,sourcing,1,32,1,5,0,0,82,0
27,Operations,22,Master's & above,m,sourcing,2,39,2,10,0,0,62,0
28,Operations,19,Bachelor's,f,sourcing,1,36,3,4,1,0,63,0
